id;nom;metier;ville;sud_est;taille;groupe;derniere_commande;jours_depuis_derniere_commande;panier_moyen_eur;commandes_12_mois;clients_finaux;a_achete_tshirts_ete_2025;clientele_exposee;opposition_prospection;dans_la_cible
R0423;Collectif Atlantique;agence;Pau;non;petit;dormant;2025-07-26;310;439;9;"collectivités ; associations";oui;non;non;non
R0424;Imprimerie Kaolin Bilbao;imprimeur;Bilbao;non;petit;dormant;2025-06-29;337;350;4;"brasseries et bars ; entreprises";non;oui;non;non
R0425;Séri'Nacre;sérigraphe;Dijon;non;petit;actif;2026-05-29;3;214;49;"associations ; entreprises";oui;non;non;non
R0426;Marquage Ubac;sérigraphe;Pau;non;petit;dormant;2025-11-09;204;414;15;"entreprises ; collectivités";oui;non;non;non
R0427;Séri'Pixel;sérigraphe;Saint-Étienne;oui;grand;dormant;2025-11-29;184;1433;119;"entreprises ; associations";oui;non;non;non
R0428;Studio Pastel Nancy;agence;Nancy;non;petit;actif;2026-05-25;7;287;35;"festivals ; collectivités";non;oui;non;non
R0429;Imprimerie Deux Rives Rennes;imprimeur;Rennes;non;petit;dormant;2025-07-08;328;289;13;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0430;Maison Rhône;brodeur;Caen;non;petit;actif;2026-05-29;3;265;51;"entreprises ; collectivités";oui;non;non;non
R0431;Maison Sud;brodeur;Arras;non;moyen;dormant;2026-03-14;79;860;92;"associations ; brasseries et bars";oui;oui;non;non
R0432;Marquage Atlantique Nîmes;sérigraphe;Nîmes;oui;moyen;actif;2026-05-28;4;819;61;"clubs sportifs ; entreprises";oui;oui;non;non
R0433;Les Fils d'Pixel Reims;brodeur;Reims;non;moyen;actif;2026-05-27;5;884;101;"clubs sportifs ; collectivités";oui;oui;non;non
R0434;Sérigraphie Loire Amiens;sérigraphe;Amiens;non;moyen;actif;2026-05-24;8;434;104;"brasseries et bars ; entreprises";oui;oui;non;non
R0435;Point Nord Caen;brodeur;Caen;non;moyen;dormant;2025-09-08;266;974;22;"festivals ; collectivités";oui;oui;non;non
R0436;Broderie Nacre Perpignan;brodeur;Perpignan;non;petit;actif;2026-05-16;16;204;48;"brasseries et bars ; entreprises";oui;oui;non;non
R0437;Imprim'Quai;sérigraphe;Avignon;oui;petit;dormant;2026-03-13;80;433;29;"entreprises ; brasseries et bars";non;oui;non;non
R0438;Atelier Garonne;sérigraphe;Genève;oui;petit;dormant;2025-07-08;328;337;8;"clubs sportifs ; entreprises";oui;oui;non;non
R0439;Marquage Tramontane Angers;sérigraphe;Angers;non;moyen;dormant;2026-01-02;150;914;71;"collectivités ; clubs sportifs";oui;oui;non;non
R0440;Atelier Ardoise;sérigraphe;Marseille;oui;petit;actif;2026-05-20;12;199;41;"collectivités ; associations";oui;non;non;non
R0441;Maison Rhône Turin;brodeur;Turin;oui;moyen;dormant;2026-01-14;138;768;58;"entreprises ; brasseries et bars";oui;oui;non;non
R0442;Atelier Horizon Vannes;sérigraphe;Vannes;non;petit;dormant;2025-10-03;241;288;18;"clubs sportifs ; associations";oui;oui;non;non
R0443;Agence Perspective;agence;Limoges;non;moyen;actif;2026-05-28;4;836;99;"entreprises ; associations";oui;non;non;non
R0444;Brod'Quai;brodeur;Le Mans;non;petit;actif;2026-05-26;6;290;38;"entreprises ; collectivités";oui;non;non;non
R0445;Brod'Hélice Avignon;brodeur;Avignon;oui;moyen;dormant;2026-02-27;94;518;75;"festivals ; clubs sportifs";oui;oui;non;non
R0446;Print Horizon;imprimeur;Barcelone;non;petit;actif;2026-05-30;2;246;34;"collectivités ; entreprises";oui;non;non;non
R0447;Impression Vertigo;imprimeur;Arras;non;moyen;dormant;2025-10-02;242;739;28;"clubs sportifs ; festivals";oui;oui;non;non
R0448;Atelier Cardinal Bayonne;sérigraphe;Bayonne;non;petit;dormant;2025-10-22;222;370;19;"associations ; brasseries et bars";oui;oui;non;non
R0449;Studio Amarante;agence;Valence;oui;grand;actif;2026-05-24;8;1760;163;"brasseries et bars ; clubs sportifs";oui;oui;oui;non
R0450;Imprim'Vauban Rouen;sérigraphe;Rouen;non;petit;actif;2026-05-20;12;386;33;"festivals ; clubs sportifs";oui;oui;non;non
R0451;Broderie Cap Ouest Grenoble;brodeur;Grenoble;oui;petit;dormant;2025-07-21;315;298;5;"festivals ; brasseries et bars";non;oui;non;non
R0452;Séri'Indigo Nantes;sérigraphe;Nantes;non;moyen;dormant;2025-07-29;307;841;19;"entreprises ; festivals";oui;oui;non;non
R0453;Textiprint Trait d'Union;imprimeur;Barcelone;non;petit;actif;2026-05-22;10;297;44;"entreprises ; collectivités";oui;non;non;non
R0454;Séri'Zénith;sérigraphe;La Rochelle;non;grand;actif;2026-05-31;1;1334;166;"associations ; brasseries et bars";oui;oui;non;oui
R0455;Marquage Faubourg;sérigraphe;Namur;non;moyen;dormant;2026-03-26;67;716;88;"brasseries et bars ; festivals";oui;oui;non;non
R0456;Point Tramontane Orléans;brodeur;Orléans;non;petit;dormant;2025-08-13;292;319;16;"associations ; clubs sportifs";oui;oui;non;non
R0457;Imprim'Perspective Le Mans;sérigraphe;Le Mans;non;petit;actif;2026-05-30;2;187;47;"brasseries et bars ; associations";non;oui;non;non
R0458;Brod'Ricochet;brodeur;Montpellier;oui;petit;actif;2026-05-25;7;287;39;"associations ; entreprises";oui;non;non;non
R0459;Séri'Ocre Albi;sérigraphe;Albi;non;petit;dormant;2025-10-30;214;174;24;"associations ; collectivités";oui;non;non;non
R0460;Collectif Solstice;agence;Arras;non;moyen;actif;2026-05-31;1;881;115;"collectivités ; entreprises";oui;non;non;non
R0461;Atelier Amarante;sérigraphe;Rennes;non;moyen;dormant;2025-12-01;182;650;61;"festivals ; brasseries et bars";oui;oui;non;non
R0462;Imprimerie Hélice Besançon;imprimeur;Besançon;non;moyen;actif;2026-04-30;32;927;68;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0463;Atelier Pixel;agence;Limoges;non;grand;dormant;2025-10-09;235;2173;71;"collectivités ; festivals";oui;oui;non;oui
R0464;Collectif Nacre;agence;Lyon;oui;moyen;dormant;2025-12-21;162;483;68;"entreprises ; brasseries et bars";oui;oui;non;non
R0465;Séri'Atlantique;sérigraphe;La Rochelle;non;moyen;actif;2026-05-30;2;600;66;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0466;Les Fils d'Basalte Quimper;brodeur;Quimper;non;petit;dormant;2026-03-26;67;399;39;"entreprises ; collectivités";oui;non;non;non
R0467;Sérigraphie Jonquille Montpellier;sérigraphe;Montpellier;oui;petit;dormant;2026-01-11;141;214;28;"festivals ; clubs sportifs";oui;oui;non;non
R0468;Séri'Faubourg Albi;sérigraphe;Albi;non;petit;actif;2026-05-27;5;348;47;"brasseries et bars ; collectivités";oui;oui;non;non
R0469;Print Solstice;imprimeur;Niort;non;moyen;dormant;2025-08-06;299;661;19;"festivals ; clubs sportifs";oui;oui;non;non
R0470;Maison Pastel Luxembourg;brodeur;Luxembourg;non;petit;dormant;2025-07-09;327;245;2;"entreprises ; associations";non;non;non;non
R0471;Agence Lumière;agence;Bruxelles;non;moyen;dormant;2025-07-17;319;832;16;"clubs sportifs ; entreprises";oui;oui;non;non
R0472;Marquage Jonquille Rouen;sérigraphe;Rouen;non;moyen;actif;2026-05-28;4;950;72;"collectivités ; clubs sportifs";oui;oui;non;oui
R0473;Collectif Horizon Bilbao;agence;Bilbao;non;moyen;actif;2026-05-26;6;925;78;"festivals ; associations";oui;oui;non;non
R0474;Collectif Boréal;agence;Angers;non;petit;dormant;2025-09-29;245;299;10;"festivals ; entreprises";oui;oui;non;non
R0475;Atelier Ocre;sérigraphe;Montpellier;oui;petit;dormant;2026-03-03;90;291;38;"festivals ; entreprises";oui;oui;non;non
R0476;Imprim'Kaolin Lausanne;sérigraphe;Lausanne;oui;petit;actif;2026-05-26;6;415;33;"brasseries et bars ; entreprises";oui;oui;non;non
R0477;Séri'Calanque;sérigraphe;Bordeaux;non;grand;dormant;2025-09-29;245;1389;69;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0478;Marquage Ypréau Namur;sérigraphe;Namur;non;grand;dormant;2025-11-07;206;2168;105;"clubs sportifs ; entreprises";oui;oui;non;oui
R0479;Studio Jonquille;agence;Barcelone;non;petit;dormant;2026-02-10;111;435;42;"associations ; entreprises";oui;non;non;non
R0480;Point Sud;brodeur;Marseille;oui;petit;actif;2026-05-22;10;205;47;"collectivités ; brasseries et bars";oui;oui;oui;non
R0481;Atelier Cap Ouest;sérigraphe;Metz;non;moyen;actif;2026-05-30;2;425;118;"entreprises ; collectivités";oui;non;non;non
R0482;Studio Nord;sérigraphe;Rennes;non;moyen;actif;2026-05-29;3;780;74;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0483;Studio Calanque;sérigraphe;Pau;non;moyen;dormant;2025-08-31;274;665;33;"collectivités ; clubs sportifs";oui;oui;non;non
R0484;Brod'Calanque Limoges;brodeur;Limoges;non;grand;actif;2026-05-28;4;2092;138;"clubs sportifs ; collectivités";oui;oui;non;oui
R0485;Brod'Lumière;brodeur;Besançon;non;petit;dormant;2025-08-31;274;306;15;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0486;Brod'Kaolin;brodeur;Valence;oui;petit;dormant;2026-02-25;96;324;25;"entreprises ; associations";oui;non;oui;non
R0487;Studio Solstice;sérigraphe;Nancy;non;petit;dormant;2026-01-23;129;382;27;"clubs sportifs ; associations";oui;oui;non;non
R0488;Agence Zénith La Rochelle;agence;La Rochelle;non;moyen;actif;2026-05-30;2;714;81;"collectivités ; entreprises";oui;non;non;non
R0489;Marquage Solstice;sérigraphe;Nantes;non;moyen;actif;2026-05-21;11;861;115;"collectivités ; festivals";oui;oui;non;non
R0490;Séri'Cyan;sérigraphe;Arras;non;moyen;actif;2026-05-31;1;808;83;"clubs sportifs ; collectivités";oui;oui;non;non
R0491;Maison Vermeil Lille;brodeur;Lille;non;petit;dormant;2025-07-12;324;296;5;"clubs sportifs ; entreprises";oui;oui;non;non
R0492;Brod'Perspective Namur;brodeur;Namur;non;petit;actif;2026-05-05;27;303;38;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0493;Studio Tandem;sérigraphe;Bayonne;non;petit;dormant;2025-10-09;235;237;11;"festivals ; brasseries et bars";oui;oui;non;non
R0494;Broderie Kaolin;brodeur;Avignon;oui;petit;dormant;2025-12-03;180;212;19;"clubs sportifs ; associations";oui;oui;non;non
R0495;Brod'Loire;brodeur;Troyes;non;petit;actif;2026-05-31;1;168;60;"associations ; brasseries et bars";oui;oui;non;non
R0496;Collectif Vermeil;agence;Reims;non;petit;dormant;2025-09-17;257;312;17;"festivals ; collectivités";oui;oui;non;non
R0497;Agence Cyan Annecy;agence;Annecy;oui;moyen;dormant;2025-07-10;326;883;8;"festivals ; collectivités";oui;oui;non;non
R0498;Impression Tramontane;imprimeur;La Rochelle;non;moyen;dormant;2026-02-06;115;756;56;"festivals ; associations";oui;oui;non;non
R0499;Imprim'Grand Angle Valence;sérigraphe;Valence;oui;petit;actif;2026-05-16;16;354;41;"entreprises ; festivals";oui;oui;non;non
R0500;Atelier Alizé;sérigraphe;Valence;oui;petit;actif;2026-05-31;1;435;30;"brasseries et bars ; collectivités";oui;oui;non;non
R0501;Imprim'Granit;sérigraphe;Amiens;non;moyen;actif;2026-05-25;7;915;119;"clubs sportifs ; associations";oui;oui;non;non
R0502;Sérigraphie Solstice Le Mans;sérigraphe;Le Mans;non;petit;dormant;2026-02-18;103;182;37;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0503;Imprimerie Pastel Turin;imprimeur;Turin;oui;petit;actif;2026-05-26;6;289;31;"clubs sportifs ; collectivités";oui;oui;non;non
R0504;Maison Sarment;brodeur;Valence;oui;petit;dormant;2025-07-03;333;394;3;"collectivités ; associations";non;non;non;non
R0505;Collectif Bleu Marine Besançon;agence;Besançon;non;grand;actif;2026-05-23;9;1789;195;"clubs sportifs ; entreprises";oui;oui;non;oui
R0506;Agence Trait d'Union;agence;Milan;non;petit;actif;2026-05-24;8;447;44;"entreprises ; clubs sportifs";oui;oui;non;non
R0507;Atelier Quai Arras;agence;Arras;non;petit;dormant;2025-08-11;294;336;8;"entreprises ; collectivités";oui;non;non;non
R0508;Imprim'Tramontane;sérigraphe;Nantes;non;petit;dormant;2025-12-08;175;396;19;"brasseries et bars ; festivals";oui;oui;non;non
R0509;Broderie Sarment Arras;brodeur;Arras;non;petit;actif;2026-05-09;23;339;33;"entreprises ; brasseries et bars";oui;oui;non;non
R0510;Collectif Zénith;agence;Montpellier;oui;moyen;dormant;2025-11-08;205;824;38;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0511;Broderie Bleu Marine;brodeur;Liège;non;moyen;dormant;2025-08-09;296;487;10;"collectivités ; clubs sportifs";oui;oui;non;non
R0512;Sérigraphie Indigo;sérigraphe;Nantes;non;moyen;actif;2026-05-26;6;872;103;"associations ; entreprises";oui;non;non;non
R0513;Collectif Mistral;agence;Milan;non;petit;actif;2026-05-05;27;329;32;"festivals ; collectivités";oui;oui;non;non
R0514;Broderie Éclat;brodeur;Nîmes;oui;grand;actif;2026-05-30;2;1610;230;"entreprises ; clubs sportifs";oui;oui;non;oui
R0515;Brod'Jonquille;brodeur;Limoges;non;petit;dormant;2026-02-05;116;181;32;"festivals ; clubs sportifs";oui;oui;non;non
R0516;Les Fils d'Ubac Genève;brodeur;Genève;oui;moyen;actif;2026-05-26;6;847;94;"entreprises ; collectivités";oui;non;non;non
R0517;Collectif Basalte Caen;agence;Caen;non;petit;dormant;2025-10-28;216;363;15;"festivals ; collectivités";oui;oui;non;non
R0518;Marquage Alizé;sérigraphe;Besançon;non;petit;actif;2026-05-31;1;319;39;"entreprises ; collectivités";non;non;non;non
R0519;Agence Origami Milan;agence;Milan;non;moyen;dormant;2025-08-24;281;776;23;"associations ; festivals";oui;oui;non;non
R0520;Séri'Mistral;sérigraphe;Niort;non;petit;dormant;2025-11-20;193;322;16;"entreprises ; collectivités";oui;non;non;non
R0521;Brod'Cardinal;brodeur;Reims;non;petit;dormant;2026-02-14;107;261;33;"festivals ; clubs sportifs";oui;oui;non;non
R0522;Imprim'Basalte;sérigraphe;Tours;non;grand;dormant;2026-01-30;122;2045;122;"associations ; brasseries et bars";oui;oui;non;oui
R0523;Studio Origami Liège;agence;Liège;non;moyen;actif;2026-05-26;6;662;102;"clubs sportifs ; entreprises";oui;oui;non;non
R0524;Atelier Sud;sérigraphe;Bruxelles;non;petit;dormant;2025-11-19;194;211;16;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0525;Studio Trait d'Union;sérigraphe;Luxembourg;non;petit;actif;2026-05-22;10;252;36;"entreprises ; clubs sportifs";oui;oui;non;non
R0526;Sérigraphie Zénith Angers;sérigraphe;Angers;non;moyen;dormant;2026-02-05;116;655;70;"associations ; brasseries et bars";oui;oui;non;non
R0527;Studio Origami Besançon;sérigraphe;Besançon;non;petit;dormant;2025-07-10;326;230;5;"brasseries et bars ; festivals";oui;oui;oui;non
R0528;Imprimerie Vermeil;imprimeur;Rennes;non;moyen;dormant;2025-09-04;270;683;20;"entreprises ; clubs sportifs";oui;oui;non;non
R0529;Point Mistral Toulouse;brodeur;Toulouse;non;petit;dormant;2025-12-21;162;360;23;"collectivités ; festivals";oui;oui;non;non
R0530;Séri'Vauban;sérigraphe;Clermont-Ferrand;non;petit;actif;2026-05-25;7;265;44;"associations ; entreprises";oui;non;non;non
R0531;Marquage Boréal Troyes;sérigraphe;Troyes;non;petit;dormant;2025-09-17;257;255;22;"associations ; festivals";oui;oui;non;non
R0532;Collectif Ricochet Toulouse;agence;Toulouse;non;petit;actif;2026-05-28;4;304;33;"festivals ; brasseries et bars";oui;oui;non;non
R0533;Marquage Estuaire;sérigraphe;Grenoble;oui;grand;dormant;2025-12-15;168;929;110;"associations ; entreprises";oui;non;non;non
R0534;Atelier Horizon Poitiers;sérigraphe;Poitiers;non;moyen;dormant;2025-10-17;227;456;51;"clubs sportifs ; collectivités";oui;oui;non;non
R0535;Collectif des Volcans;agence;Limoges;non;petit;actif;2026-05-21;11;210;30;"brasseries et bars ; entreprises";non;oui;non;non
R0536;Imprim'Hélice Genève;sérigraphe;Genève;oui;petit;actif;2026-05-20;12;291;30;"brasseries et bars ; entreprises";oui;oui;non;non
R0537;Marquage Ricochet Dijon;sérigraphe;Dijon;non;moyen;dormant;2025-09-03;271;956;29;"associations ; clubs sportifs";oui;oui;non;non
R0538;Atelier Lumière Chambéry;sérigraphe;Chambéry;oui;petit;dormant;2026-03-19;74;432;34;"associations ; brasseries et bars";oui;oui;non;non
R0539;Textiprint Calanque Le Mans;imprimeur;Le Mans;non;moyen;actif;2026-05-19;13;737;84;"associations ; entreprises";oui;non;non;non
R0540;Séri'Garonne Albi;sérigraphe;Albi;non;petit;actif;2026-05-24;8;150;37;"collectivités ; associations";oui;non;non;non
R0541;Atelier Basalte Metz;sérigraphe;Metz;non;petit;dormant;2025-08-28;277;198;14;"entreprises ; festivals";oui;oui;non;non
R0542;Studio Vermeil Montpellier;sérigraphe;Montpellier;oui;moyen;actif;2026-05-25;7;699;107;"collectivités ; festivals";oui;oui;non;non
R0543;Point Jonquille;brodeur;Nantes;non;petit;actif;2026-05-31;1;275;54;"associations ; festivals";oui;oui;non;non
R0544;Séri'Vermeil;sérigraphe;Avignon;oui;moyen;dormant;2026-01-18;134;702;34;"festivals ; clubs sportifs";oui;oui;non;non
R0545;Atelier Zinc Avignon;agence;Avignon;oui;moyen;actif;2026-05-24;8;604;119;"associations ; festivals";oui;oui;non;non
R0546;Sérigraphie Boréal Grenoble;sérigraphe;Grenoble;oui;petit;dormant;2026-01-26;126;356;34;"clubs sportifs ; associations";oui;oui;non;non
R0547;Marquage Quai Valence;sérigraphe;Valence;oui;petit;actif;2026-05-30;2;174;54;"associations ; festivals";non;oui;oui;non
R0548;Imprimerie du Lac Niort;imprimeur;Niort;non;petit;actif;2026-05-31;1;278;43;"festivals ; brasseries et bars";oui;oui;non;non
R0549;Atelier Trait d'Union Brest;brodeur;Brest;non;petit;actif;2026-05-19;13;253;54;"associations ; brasseries et bars";oui;oui;non;non
R0550;Brod'Zénith Tours;brodeur;Tours;non;moyen;actif;2026-05-31;1;447;103;"entreprises ; brasseries et bars";oui;oui;non;non
R0551;Broderie Cyan Limoges;brodeur;Limoges;non;moyen;dormant;2025-12-10;173;540;39;"festivals ; associations";oui;oui;non;non
R0552;Marquage Solstice Quimper;sérigraphe;Quimper;non;petit;dormant;2025-10-02;242;198;9;"festivals ; brasseries et bars";oui;oui;non;non
R0553;Collectif Indigo;agence;Limoges;non;petit;actif;2026-05-29;3;302;47;"festivals ; clubs sportifs";oui;oui;non;non
R0554;Séri'Kaolin;sérigraphe;Strasbourg;non;petit;dormant;2026-02-22;99;311;42;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0555;Atelier Alizé Grenoble;agence;Grenoble;oui;grand;actif;2026-05-31;1;2050;191;"clubs sportifs ; brasseries et bars";oui;oui;non;oui
R0556;Broderie Sud;brodeur;Le Mans;non;petit;dormant;2025-10-23;221;275;25;"entreprises ; associations";oui;non;non;non
R0557;Point Vertigo;brodeur;Le Mans;non;moyen;dormant;2025-07-27;309;655;14;"brasseries et bars ; clubs sportifs";oui;oui;oui;non
R0558;Marquage Indigo Strasbourg;sérigraphe;Strasbourg;non;petit;actif;2026-05-24;8;355;42;"associations ; festivals";oui;oui;non;non
R0559;Marquage Cardinal Strasbourg;sérigraphe;Strasbourg;non;petit;actif;2026-05-25;7;307;37;"collectivités ; clubs sportifs";oui;oui;non;non
R0560;Les Fils d'Calanque Besançon;brodeur;Besançon;non;moyen;dormant;2026-02-07;114;769;72;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0561;Atelier Nord Milan;brodeur;Milan;non;petit;dormant;2026-01-14;138;424;27;"associations ; brasseries et bars";oui;oui;non;non
R0562;Broderie Zinc;brodeur;Arras;non;petit;actif;2026-05-19;13;221;30;"associations ; brasseries et bars";oui;oui;non;non
R0563;Marquage Ricochet;sérigraphe;Avignon;oui;petit;actif;2026-05-25;7;191;34;"clubs sportifs ; associations";oui;oui;non;non
R0564;Print Indigo;imprimeur;Metz;non;petit;actif;2026-05-28;4;345;51;"collectivités ; festivals";oui;oui;non;non
R0565;Collectif Origami;agence;Nîmes;oui;grand;actif;2026-05-31;1;2304;142;"entreprises ; associations";oui;non;non;non
R0566;Textiprint Tandem;imprimeur;Saint-Étienne;oui;petit;actif;2026-05-10;22;356;30;"collectivités ; associations";oui;non;non;non
R0567;Collectif Zinc;agence;Saint-Étienne;oui;grand;actif;2026-05-31;1;1436;239;"entreprises ; associations";oui;non;non;non
R0568;Atelier Ubac Arras;agence;Arras;non;petit;dormant;2025-10-07;237;394;20;"collectivités ; festivals";oui;oui;oui;non
R0569;Atelier Sarment Grenoble;sérigraphe;Grenoble;oui;moyen;dormant;2025-08-19;286;706;23;"brasseries et bars ; collectivités";oui;oui;non;non
R0570;Imprim'Lumière;sérigraphe;Valence;oui;petit;dormant;2026-01-27;125;358;32;"collectivités ; clubs sportifs";oui;oui;non;non
R0571;Broderie Nord;brodeur;Perpignan;non;moyen;dormant;2026-01-23;129;946;63;"collectivités ; brasseries et bars";oui;oui;non;non
R0572;Print Cyan;imprimeur;Quimper;non;moyen;actif;2026-05-30;2;475;115;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0573;Atelier Cardinal Nancy;brodeur;Nancy;non;petit;actif;2026-05-31;1;254;46;"collectivités ; entreprises";oui;non;non;non
R0574;Atelier Grand Angle;brodeur;Perpignan;non;moyen;actif;2026-05-30;2;806;92;"festivals ; collectivités";oui;oui;non;non
R0575;Sérigraphie Boréal;sérigraphe;Annecy;oui;grand;actif;2026-05-29;3;1279;139;"associations ; festivals";oui;oui;non;oui
R0576;Imprim'Vertigo;sérigraphe;Valence;oui;petit;dormant;2026-01-10;142;317;27;"associations ; entreprises";oui;non;non;non
R0577;Point Pixel Grenoble;brodeur;Grenoble;oui;grand;dormant;2026-03-10;83;1210;175;"clubs sportifs ; associations";oui;oui;non;oui
R0578;Imprim'des Volcans;sérigraphe;Milan;non;petit;actif;2026-05-24;8;242;38;"brasseries et bars ; collectivités";oui;oui;non;non
R0579;Atelier Kaolin Toulouse;sérigraphe;Toulouse;non;petit;actif;2026-05-23;9;299;44;"associations ; brasseries et bars";oui;oui;non;non
R0580;Les Fils d'Tramontane Poitiers;brodeur;Poitiers;non;grand;dormant;2025-12-12;171;2138;103;"entreprises ; brasseries et bars";oui;oui;non;oui
R0581;Imprim'Alizé Nîmes;sérigraphe;Nîmes;oui;petit;dormant;2025-10-03;241;307;25;"associations ; brasseries et bars";oui;oui;non;non
R0582;Marquage Deux Rives;sérigraphe;Caen;non;grand;dormant;2025-07-25;311;2199;23;"collectivités ; brasseries et bars";oui;oui;non;non
R0583;Textiprint Faubourg;imprimeur;Avignon;oui;petit;dormant;2025-09-26;248;338;12;"festivals ; clubs sportifs";oui;oui;non;non
R0584;Atelier Basalte Strasbourg;agence;Strasbourg;non;moyen;dormant;2025-09-08;266;615;21;"associations ; festivals";oui;oui;oui;non
R0585;Atelier Mistral;sérigraphe;Liège;non;petit;actif;2026-05-14;18;260;59;"collectivités ; entreprises";oui;non;non;non
R0586;Impression Deux Rives;imprimeur;Namur;non;petit;actif;2026-05-30;2;277;44;"entreprises ; collectivités";oui;non;non;non
R0587;Studio Ricochet;sérigraphe;Béziers;non;petit;dormant;2026-01-12;140;353;23;"collectivités ; entreprises";non;non;non;non
R0588;Séri'Zinc;sérigraphe;Limoges;non;petit;actif;2026-05-24;8;379;54;"brasseries et bars ; entreprises";oui;oui;non;non
R0589;Atelier du Lac Brest;agence;Brest;non;moyen;dormant;2025-09-24;250;461;42;"entreprises ; associations";oui;non;non;non
R0590;Studio Indigo;sérigraphe;Barcelone;non;petit;actif;2026-05-28;4;343;43;"associations ; collectivités";oui;non;non;non
R0591;Agence Vertigo Annecy;agence;Annecy;oui;petit;dormant;2025-12-22;161;246;23;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0592;Print Tramontane Metz;imprimeur;Metz;non;moyen;dormant;2025-12-09;174;572;59;"festivals ; brasseries et bars";oui;oui;non;non
R0593;Marquage Loire Luxembourg;sérigraphe;Luxembourg;non;petit;dormant;2025-10-25;219;314;17;"brasseries et bars ; clubs sportifs";oui;oui;non;non
R0594;Collectif Kaolin Nancy;agence;Nancy;non;moyen;dormant;2025-07-18;318;829;17;"brasseries et bars ; associations";oui;oui;non;non
R0595;Atelier Bleu Marine Annecy;sérigraphe;Annecy;oui;moyen;actif;2026-05-22;10;429;106;"brasseries et bars ; collectivités";oui;oui;non;non
R0596;Les Fils d'Horizon;brodeur;Amiens;non;moyen;dormant;2026-01-07;145;625;41;"clubs sportifs ; associations";oui;oui;non;non
R0597;Studio Basalte Namur;agence;Namur;non;petit;dormant;2025-10-28;216;345;20;"brasseries et bars ; associations";oui;oui;non;non
R0598;Studio Alizé Annecy;agence;Annecy;oui;petit;actif;2026-04-30;32;351;32;"entreprises ; associations";oui;non;non;non
R0599;Imprimerie Horizon;imprimeur;Montpellier;oui;petit;actif;2026-05-14;18;212;41;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0600;Studio Ocre;sérigraphe;Metz;non;moyen;dormant;2026-01-31;121;767;79;"brasseries et bars ; associations";oui;oui;non;non
R0601;Print Pastel;imprimeur;Lausanne;oui;petit;actif;2026-05-31;1;314;56;"collectivités ; clubs sportifs";oui;oui;non;non
R0602;Impression Calanque;imprimeur;Quimper;non;moyen;dormant;2025-09-01;273;1013;30;"associations ; festivals";oui;oui;non;non
R0603;Studio Quai;agence;Angers;non;grand;dormant;2025-07-06;330;1002;25;"collectivités ; entreprises";oui;non;oui;non
R0604;Marquage Nacre Lausanne;sérigraphe;Lausanne;oui;moyen;dormant;2025-08-02;303;550;17;"collectivités ; festivals";oui;oui;non;non
R0605;Les Fils d'Trait d'Union;brodeur;Le Mans;non;moyen;actif;2026-05-28;4;592;105;"brasseries et bars ; collectivités";oui;oui;non;non
R0606;Sérigraphie Ricochet;sérigraphe;Pau;non;grand;dormant;2025-11-20;193;1849;100;"associations ; collectivités";oui;non;non;non
R0607;Point Origami;brodeur;Nancy;non;moyen;actif;2026-05-31;1;646;99;"brasseries et bars ; entreprises";oui;oui;oui;non
R0608;Brod'Tramontane Angers;brodeur;Angers;non;petit;actif;2026-05-27;5;298;38;"collectivités ; entreprises";oui;non;non;non
R0609;Studio Grand Angle Metz;sérigraphe;Metz;non;petit;dormant;2026-03-11;82;236;42;"clubs sportifs ; collectivités";oui;oui;non;non
R0610;Studio Sarment Limoges;agence;Limoges;non;grand;actif;2026-05-29;3;1992;122;"brasseries et bars ; clubs sportifs";oui;oui;oui;non
R0611;Agence du Lac;agence;Turin;oui;petit;actif;2026-05-25;7;178;39;"associations ; collectivités";oui;non;non;non
R0612;Séri'Estuaire;sérigraphe;Lausanne;oui;petit;dormant;2026-03-13;80;294;36;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0613;Textiprint Quai;imprimeur;Orléans;non;petit;dormant;2025-11-09;204;174;24;"festivals ; entreprises";oui;oui;non;non
R0614;Studio Cyan Besançon;sérigraphe;Besançon;non;petit;actif;2026-05-31;1;402;50;"associations ; clubs sportifs";oui;oui;non;non
R0615;Agence Mistral Chambéry;agence;Chambéry;oui;petit;dormant;2026-01-11;141;316;32;"collectivités ; brasseries et bars";oui;oui;non;non
R0616;Sérigraphie Granit;sérigraphe;Nancy;non;grand;actif;2026-05-31;1;1059;210;"festivals ; clubs sportifs";oui;oui;oui;non
